query,report,institute,category,label
kdrt,bulungan terjadi kekerasan dalam rumah tangga di kecamatan . tanjung selor,DPPPAPP dan KB Kab Bulungan,  Tindak Pidana,Crime
kdrt,"nama saya : wina asdiana ( bertempat tinggal di bekasi ) melaporkan untuk warga bandung yang telah menelantarkan istri dan anak , tidak memberi nafkah serta tindak kdrt dan lari dari tanggung jawab hutang2.nama : gian hardyman kusumah nik : 327304070484004 alamat : jalan . cetarip barat rt 004/007 kelurahan . kopo kecamatan . bojongloa kaler . saya mohon dibantu untuk saudara gian di tegur melalui rt rw agar menyelesaikan smuanya . saya sudah menghubungi orang tua/saudara/kerabatnya , akan tetapi tidak pernah di response oleh mereka . saya mohon bantuannya segera . terima kasih .",Kecamatan Bojongloa Kaler Kota Bandung,  Topik Lainnya,Crime
kdrt,"hai orang orang baik , saya ibu dari 2 anak balita usia 2 dan 3 tahun . suami saya kerap sekali kdrt di depan anak2 sehingga saya takut akan menggaggu psikologis anak anak saya.. 3 tahun usia pernikahan dari awal memang sudah di penuhi dengan pertengkaran2 hebat.. tapi di setiap pertengkaran itu , mulanya awalnya memang dari pihak suami . suami main perempuan , main judi online sampai kami kehabisan uang untuk sekedar makan . 3 tahun sudah saya berusaha sekuat tenaga dan kemampuan saya untuk bertahan demi anak anak . tapi semakin lama bukan perubahan yang baik yang terjadi melainkan sikap suami semakin buruk . semakin berani memukuli saya di luar rumah . semakin berani mengancam saya akan memisahkan saya dengan anak pertama saya . singkat cerita , saya sudah benar2 tidak kuat untuk menahan itu semua . saya minta pisah . kali ini saya merelakan anak pertama saya di bawa oleh nya . 3 tahun menikah ini saya memang murni ibu rumah tangga dan bergantung pada nafkah suami . sehingga dalam keadaan seperti ini membuat saya bingung saya harus kemana untuk tinggal . bisakah saya menerima bantuan ? untuk sekedar saya tinggal dengan anak laki laki saya usia 2 tahun ? saya berharap sekali mendapat uluran tangan orang orang baik.. saya tidak punya siapa2.. terima kasih",Deputi Perlindungan Hak Perempuan,  SP4N-LAPOR!,Crime
kdrt,"bapak kami najib s.e menjual rumah warisan almarhumah ibu kami secara paksa . lebih jauh lagi , dari ( saya ) balita melakukan kdrt bahkan percobaan pembunuhan . dia pergi entah kemana . harap segera ditindak lanjuti ! jalan . tembus mantuil ( komplek perumahan wengga ) , blok . j no.173 , kelayan sel. , kecamatan . banjarmasin sel. , banjar , kalimantan selatan 70246 .",Deputi Perlindungan Hak Perempuan,  Lainnya terkait Sosial dan Kesejahteraan,Crime
kdrt,"selamat siang yang terhormat bpk/ibu saya mau melapor laki2 yang merupakan bapak anak saya , tapi tidak mau kasih surat resmi menikah , akta anak saya adalah “ anak seorang ibu ” , dan kakak hanya ada saya dan anak saya . selama 3th saya mengalami tindakan abusive mulai dari fisik , verbal , financial , mental dan emosi . sd saat ini saya sudah pergi menjauh tetapi ybs tetap datang ke tempat saya , dengan berbagai alasan mengganggu ketenangan hidup saya dan anak saya . saya takut karena dia sering bertindak anarkis , tidak jarang memukul , membentak , memaki . dan dari dulu sering mengancam “ akan ambil anak saya dan tidak akan ketemu smpai saya mati ” selalu mengancam “ akan ambil anak saya ” yang mn jelas2 itu adalah di akta lahir “ anak dari seorang ibu ” yaitu saya . mohon bantuanya . terima kasih .",Deputi Perlindungan Hak Perempuan,  SP4N-LAPOR!,Crime
kdrt,"saya mendapat penganiayaan dari adik kandung saya tepat pada jam 11:30 am sebelum sholat jumat , kejadian berawal karena saya tidak terima anak saya dibuat menangis oleh adik saya , lalu saya terkejut dan emosi mendengar suara tangisan anak saya yang berusia 5 tahun . sayapun marah akan tetapi yang si adik ini bahkan menyaci maki saya , saya tidak terima lalu saya menghampiri dia , dia bahkan semakin kasar dan membully saya , ketika saya mau membalas , bahkan badan saya digebuk , dan di keroyok dengan adik lelaki saya , di cekik . saya membalas menerjang bahkan kepala saya diputar hingga badan saya terhempas dan menyebabkan mata sebelah kiri saya menjadi susah untuk melihat .",Pengaduan Masyarakat Kemen PPPA,  Topik Lainnya,Crime
tawuran,"lokasi jalan pekapuran ii raya , kelurahan tanah sereal , kecamatan tambora , jakarta barat , dari area belakang sekolah bhinneka tunggal ika hingga depan gang petak serani ii . sejak tanggal 13 april 2021 , jam 2 pagi , mulai ada gerombolan berandalan yang menyusuri jalanan sembari membawa kaleng rombeng ditabuh-tabuh dan berteriak-teriak sahur , padahal gerombolan berandalan bukan mengingatkan untuk sahur tapi untuk mengganggu istirahat warga sekitar . selain menciptakan keonaran , hingga jam 6 pagi , juga memainkan petasan , balapan sepeda dan juga terus-menerus berteriak-teriak tidak jelas artinya , diselingi dengan umpatan kata-kata kotor . apakah sahur sekarang berarti anak-anak harus main lempar petasan dan mengumpat kata-kata kotor ? memainkan petasan juga berbahaya karena rumah no.14 adalah tempat usaha yang banyak memiliki kertas dan bahan-bahan mudah terbakar . jika petasan hingga menyebabkan kebakaran besar , apakah pemerintah mau bertanggung jawab ? area ini area padat penduduk , memainkan petasan harusnya dilarang keras ! saat bertemu dengan kelompok lain , atau pengguna jalan ( dalam hal ini pengendara motor ) akan diserang . akibatnya tawuran antara kelompok atau kekerasan terhadap pengguna jalan . padahal sudah berulang kali dilaporkan bahwa jalan pekapuran ii bukanlah tempat prostitusi , lokalisasi , atau hiburan malam . tempat ini adalah tempat pemukiman warga yang berhak beristirahat dengan tenang di malam hari ! petugas berwenang diwajibkan untuk patroli dan menjamin ketentraman dan ketertiban warga ! segera tertibkan gerombolan berandalan yang tidak bertujuan baik dan mengganggu ketertiban . area ini bukan untuk preman atau orang-orang yang niatnya mengacau !",Pemprov DKI 2,  Pelanggaran Social Distancing,Crime
tawuran,"kepada yang terhormat pemerintah kota bekasi , sebagai warga jatibening kompleks a.l , pondokgede bekasi , saya ingin melaporkan ketidaknyamanan dan ketidakamanan sebagai warga dikarenakan adanya tawuran di situasi covid 19 sekarang , dimana keadaan tersebut pada saat setelah hujan dan sedang banjir , serta terlihat anak anak yang terlibat tidak menggunakan protokol kesehatan seperti masker , yang dimana sangat berbahaya bagi penyebaran virus corona . saya mohon dapat diberikan solusi dan tindak secara tegas dan disiplin bagi pelanggar tersebut , dikarenakan dapat memicu penyebaran virus corona . sekian terima kasih . tertanda , warga jatibening indah komp . a.l , pondok gede , bekasi .",Kecamatan Pondok Gede,  Karantina Wilayah,Crime
tawuran,"aksi balap liar ( motor ) di jalur utama jl.letjen soeprapto , jakpus.. selama ini sangat meresahkan warga . hampir setiap hari mereka memenuhi jalur utama tersebut ( dari cempaka tengah hingga halte depan rumah toko cempaka mas . warga ( termasuk saya ) .. sudah berulang kali meminta pihak kepolisian ( polres & polsek ) untuk menindak . tapi kurang ditanggapi dengan maksimal . sudah diberitahu bahwa aksi tersebut start dari jam 02.00 hingga pagi hari . patroli bahkan dilakukan antara jam 23.00 -00.30. jelas tidak mungkin ada aksi balap liar tersebut . puncak kekesalan warga muncul.. akibatnya tadi subuh sekitar jam 3 terjadi chaos antara warga dengan para peserta dan penonton balap liar tersebut . bisa dikatakan ... warga kalah dalam jumlah personel , karena jumlah peserta dan penonton balap liar tersebut sangat banyak ( +/- 100 orang ) . bahkan tadi ada pula rombongan peserta dari arah pulogadung , bekasi , kp.rambutan , lebak bulus hingga bsd yang ikut terlibat chaos..bahkan ada yang membawa samurai dan golok . kalau seperti ini terus kondisinya , saya pastikan kedepannya akan ada korban jiwa ... hukum jalanan sepertinya lebih baik tuk menutupi kelemahan pihak kepolisian . keluhan dan laporan saya ini sebaiknya segera ditindaklanjuti , sebelum kalian repot ngurusi korban di rumah sakit maupun rumah duka.. ! ! ! regard piet",Pemprov DKI 2,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat",Crime
tawuran,"anak dari daerah lain menyerang anak-anak sungai jawi dalam . mengajak tauran . ketika dipanggil pihak kepolisian hanya membubarkan . tidak lama setelah dibubarkan dan polisi pergi mereka berkumpul kembali dan mengajak tauran lagi . ini sangat mengganggu warga sekitar . dan ini juga membahayakan karena para penyerang membawa senjata . selain itu , kejadian ini juga membahayakan bagi pengguna jalan raya , karena mereka berlarian disekitar jalan raya sungai jawi dalam . saya melihat para penyerang sedang berkumpul di barau ( depan gg margodirejo ) . ini selalu terjadi di setiap malam minggu . mohon segera ditindaklanjuti agar tauran ini tidak terjadi lagi . harap laporan ini segera direspon . untuk mencegah hal yang tidak diinginkan terjadi malam ini , orang di gg kami sudah menelpon polisi namun mereka hanya dibubarkan , harap polisi bertindak untuk memberi mereka efek jera agar tidak terulang . terima kasih .",Kecamatan Pontianak Barat,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"selamat malam bapak polisi yang kami hormati , saya adalah salah satu warga yang teramat merasa terganggu dengan keberadaan sekelompok abg/pemuda yang hampir setiap malam nongkrong bernyanyi , berteriak , mabuk minuman keras dan lain-lain hingga larut malam bahkan subuh pagi .. dulunya kelompok tersebut sudah beberapa kali ditertibkan karena sering memicu terjadinya tawuran antar kampung . dan banyak dari mereka juga sudah pernah ditangkap.. namun setelah beberapa lama kelompok tersebut vacum , akhirnya belakangan ini mulai kembali berkumpul melakukan hal² seperti yang dijelaskan tadi . kami sebagai warga merasa terganggu dan resah akibat ulah mereka . tokoh masyarakat juga sudah beberapa kali coba menertibkan namun tetap saja mereka mengulanginya kembali . jadi kami mohon kepada pihak terkait khususnya kepolisian yang berada diwilayah kelurahan grogol , kecamatan . grogol petsmbursn jakbar unthk menindak tegas serta melakukan patroli rutin didaerah tersebut . terima kasih atas perhatiannya dan kami berharap bantuannya .",Kepolisian Daerah Metro Jakarta Raya,  Ketertiban Umum,Crime
tawuran,"ada tawuran di kaliabang tengah , bekasi utara . disini memang rawan tawuran . barusan jam 2.45pagi ada tawuran lagi dan untung saja ada polisi naik motor pakai sirine jadi pergi mereka . serem sekali . tolong dipantau area ini karena saya takut besok besok terjadi lagi karena memang sering terjadi . sangat meresahkan masyarakat . terjadi tanggal 12mei ( gatau kenapa di tanggal kejadian gabisa dipilih 12mei )",Satpol PP Kota Bekasi,  Topik Lainnya,Crime
tawuran,terkait tawuran yang mulai terjadi kembali dan hampir tiap mlm sekitar jam 3 smpe menjelang subuh di jl.warakas gg.21 kel.warakas tg.priok,Polres Metro Jakarta Utara,  Corona - Jaga Jarak Aman (Physical Distancing),Crime
tawuran,"hari ini banyak knalpot bising sepedamotor dan mobil diwilayah polsek palupuh , polres bukittinggi , sumaterabarat.seolah-olah mau mengajak tawuran , juga dentuman musik mobil lewat .",Kepolisian Negara Republik Indonesia,"  Bidang Politik, Hukum, dan Keamanan",Crime
